,Unbleached,BG,Cell1,Cell3,Cell4,Cell5,Cell6,Cell9,Cell12
1,1477.33866666667,1056.56,1518,1319.6,1372.96,1462.56,1347.52,1748.24,1657.6
2,1457.04033333333,1079.12,1454.88,1358.24,1402.16,1468.48,1325.68,1770,1692.64
3,1438.19233333333,1105.68,1117.12,1091.92,1142.16,1079.84,1099.28,1089.28,1073.92
4,1450.912,1073.04,1136.08,1068.16,1141.44,1120.64,1092.16,1152.72,1110.96
5,1440.213,1075.6,1113.12,1101.28,1135.12,1134.64,1131.2,1148.8,1165.12
6,1439.06033333333,1114.72,1122.8,1100.8,1131.2,1123.44,1108.08,1111.92,1148.08
7,1435.11733333333,1132.32,1155.36,1103.04,1127.52,1109.92,1142,1119.68,1208.64
8,1449.363,1100.4,1106.96,1151.68,1177.36,1152.64,1148.48,1142,1190.24
9,1438.462,1092.72,1115.6,1177.44,1165.04,1104.56,1124.08,1157.92,1128.8
10,1454.53733333333,1082.24,1101.84,1090.08,1097.76,1138.32,1112.96,1079.92,1163.52
11,1423.47666666667,1059.2,1120.16,1157.68,1118.96,1177.2,1111.2,1105.52,1165.2
12,1445.36066666667,1080.24,1160.24,1142.4,1147.2,1191.84,1129.2,1126.88,1221.68
13,1424.62333333333,1049.76,1144.72,1130.32,1103.84,1191.2,1102.96,1129.76,1176.8
14,1449.66066666667,1095.36,1172.96,1132.88,1146,1170,1171.04,1114,1216.24
15,1433.37766666667,1059.2,1194.32,1148.64,1190.08,1131.76,1129.76,1114,1225.76
16,1457.78533333333,1095.28,1153.92,1139.68,1155.92,1154.64,1144.8,1146.72,1241.44
17,1431.82633333333,1074.32,1178.24,1121.36,1138.56,1221.84,1143.28,1145.68,1172.32
18,1440.976,1072.88,1159.68,1109.76,1164.8,1196.56,1131.92,1160.56,1184.88
19,1442.81,1053.28,1170,1106.32,1205.52,1200.16,1110.32,1157.6,1194.72
20,1440.87333333333,1046.88,1108.72,1163.76,1122.08,1215.2,1125.52,1117.2,1176.24
21,1456.44233333333,1080.48,1132.56,1131.12,1141.28,1215.2,1148.16,1137.04,1169.36
22,1442.98866666667,1061.6,1174.48,1124.72,1127.04,1199.28,1133.36,1101.52,1107.76
23,1469.94266666667,1076.16,1135.68,1171.92,1126.24,1171.92,1145.36,1155.12,1227.68
24,1452.23466666667,1104.4,1134.96,1143.36,1133.76,1143.28,1147.28,1168.8,1231.04
25,1456.266,1060.16,1110.24,1135.2,1162.16,1142.08,1112.4,1179.84,1199.44
26,1432.55866666667,1078.64,1127.36,1122.16,1147.28,1157.6,1177.44,1182.64,1277.04
27,1460.362,1065.52,1161.12,1160.48,1138.16,1121.12,1154.16,1113.92,1223.68
28,1460.44133333333,1071.28,1148.64,1106.16,1156.64,1104.64,1159.04,1132.64,1223.04
29,1462.61733333333,1071.04,1131.76,1155.36,1148.24,1144.48,1095.04,1117.28,1248.08
30,1464.09966666667,1060.64,1161.76,1145.6,1145.92,1116.48,1173.52,1190.56,1202
31,1462.39433333333,1075.68,1143.68,1116.24,1105.12,1145.6,1143.44,1144.48,1238.48
32,1450.365,1075.52,1107.6,1198.64,1132.72,1152.08,1136.48,1182.72,1160.72
33,1477.65766666667,1033.76,1114.08,1140.08,1115.04,1225.92,1117.92,1211.36,1180.88
34,1441.947,1090.24,1137.68,1160.88,1136.96,1151.92,1146.16,1183.2,1238.4
35,1446.35366666667,1076.4,1142.56,1189.68,1157.2,1145.84,1197.2,1141.44,1178.96
36,1467.73333333333,1049.2,1142.64,1146.64,1121.76,1121.6,1145.04,1147.84,1250.96
37,1453.38033333333,1097.12,1119.36,1154.4,1140.48,1116.08,1145.68,1110.48,1192.24
38,1441.61533333333,1048.16,1119.12,1215.04,1175.92,1155.2,1160.64,1161.84,1275.12
39,1435.27666666667,1065.52,1151.52,1148.48,1147.84,1134,1195.6,1179.68,1201.68
40,1456.103,1066.8,1170.56,1118.64,1208.72,1141.12,1117.12,1176.72,1176.96
41,1456.158,1073.2,1126.72,1124.08,1134.32,1134.4,1167.04,1105.12,1157.44
42,1418.00466666667,1051.12,1186.32,1111.04,1140.56,1155.6,1202.96,1164.72,1205.84
43,1454.31666666667,1080.88,1089.36,1137.52,1135.92,1155.92,1164.16,1130.16,1178.88
44,1457.849,1078.64,1150.16,1159.12,1147.68,1182.88,1163.28,1154.32,1218.4
45,1460.98866666667,1070.24,1162.72,1127.84,1118.24,1126.8,1208.32,1140.48,1292
46,1470.44966666667,1052.4,1153.2,1172.4,1124.48,1137.12,1171.52,1182.96,1259.2
47,1452.96166666667,1064.16,1080.8,1240.88,1123.52,1116,1146.08,1112.96,1164.24
48,1458.24,1065.04,1164.32,1165.2,1142,1143.04,1122.88,1131.2,
49,1455.82433333333,1041.12,1085.84,1134.88,1146.96,1118.8,1153.2,1171.76,
50,1443.26466666667,1062.48,1130.96,1137.76,1185.6,1160.8,1169.76,1164.64,
51,1462.126,1078.56,1158.16,,1154.48,1128.88,1168.56,1144.08,
52,1459.36433333333,1046.96,1141.2,,1126.96,1136.64,1172.08,,
53,1448.27366666667,1082.08,1139.12,,1135.68,1142.64,1132,,
54,1444.79066666667,1058.32,1151.28,,1135.2,1121.92,,,
55,1461.51566666667,1057.2,1127.84,,1152,1102.08,,,
56,1458.18266666667,1054.88,1155.92,,1124.24,1152.24,,,
57,1444.45633333333,1060.16,,,1127.76,,,,
58,1446.56933333333,1074.96,,,1142,,,,
59,1451.99133333333,1078.16,,,1166.96,,,,
60,1441.661,1080.16,,,,,,,
61,1433.83,1077.28,,,,,,,
62,1452.58,1083.04,,,,,,,
63,1424.38966666667,1067.68,,,,,,,
